Username,Comment,vader_sentiment
@srkaczmarowski,This is quite literally everything you learn in the 10 hour CodeAcademy course. Thank you!,1
@SasiKumarindia,Best 5 minutes of my time  today.,1
@dantedycer,"This is insane, very well done video, please do these for CSS and JS parts!",1
@Robertkokhreidze,This one guy explaining html to me took 45min to explain what html is and you just saved me a year,1
@jennybennyglitter,Took a 3 month break from codecademy due to life drama and needed a quick refresh of html. You delivered. Superb ,1
@Appollochan,"That was an awesome refresher, haven't touched HTML for 3 years, but it all came flooding back after this. :)",1
@svetlana1362,"Honestly it was wayyy to fast, nobody can remember everything that was said in these 5 minutes. You'd have to watch at least a few times. BUT that is exactly what I liked. It was quick and I got all the information. I've got an overview on how to start and all the most important things. Now I can go back and slowly rewatch it and stop whenever I have to, in order to understand. Thank you. This was the best video I found on HTML. Keep up the good work.",1
@rezvihossain8195,Everything in one shot. Good for brushing up in 5 mins. Love it. Thanks.,1
@Mwtorres89,I like your minimalist and basic approach. Enough to give people a grasp of the concept and ignite interest. Thanks!,1
@aguibanez4821,"Aaron, thank you. Your videos have gotten SO MUCH BETTER through time, it's actually insane and inspiring af. Keep at it mate!",1
@GeekyMino,Now this is how high quality video looks like! Great job.,1
@bracketpair,"Animations are insane, great production quality!",1
@Rocky-cc1tg,I just discovered that this is my learning style. I had such a difficult time paying attention to other videos but this was just perfect! Thank you!,1
@Kyo-iv7mh,"I've been learning how to code for about 6-7 months, and it feels great being able to understand what you're talking about.",1
@leintethegreat6678,Man this was awesome. I'm so burned out by these extensive tutorials. Fast and quick to the point!,1
@dcngn_,"For someone who had taken a course years ago without ever using html, this was a perfect briefing. Especially things like the boilerplate autocomplete and the anti div movement.",1
@ggdgo,"Thanks, Aaron! I've been going through and intro HTML course and I've been bored by all the reading, so videos are appreciated. lol",1
@joweemac,"This is very well done!!! Makes what I'm learning much much clearer, thanks!",1
@noelradhakrishnan4423,"I have learnt a lot. I thought html was hard but, you made it so easy for me. You made it very understandable and intresting.
You nailed it.
Thank you so much buddy",1
@captainboon2978,It's been a while since I've done any HTML. This was an excellent refresher course.,1
@a.prepper4538,"Hey man, new subscriber here. Recently found out about your channel and I have to thank you. Thank you for the amazing videos. I started coding two months ago and I want to become a developer for a living. From tomorrow onwards I will take your advice and code first thing in the morning. As of now, I know the basics of HTML and CSS  and am now learning about JavaScript. I have to say that it is not easy at all for me, but I will never give up because even if it has been only two months, I simply love coding. Thank you again for your videos.
Have a splendid day. God Bless.

-Andrew",1
@srivatsanbalaji6238,You are a good role model dude. I majored in CS but hate coding and have been figuring out life for a bit. Watching these videos motivates me to learn more out of comfort zone and pursue new things. Stay safe dude,1
@thaihm,"Great review, thank you Aaron! ",1
@stradivariusboys4040,Honestly it is a very very good recap for any beginner who want to refresh their mind after a week of not coding.,1
@ivonna3583,Still one of the most amazing and clear videos I've seen on this topic. Thank you very much!,1
@ryuk_shinigami,Amazing!! never ever seen such a short video packed with everything I need.,1
@rpgrynn,Your hyper targeted presentation works extremely well - Really enjoy this,1
@aarongarcia2433,Five minutes well spent. Thank you!,1
@cameronbrighton1258,"bro this is insanely helpful, thank you",1
@keifer7813,"Going crazy with the motion graphics man, great video",1
@gracej5432,Perfect quick overview! Thanks!,1
@ninopino12,This might be the best video ive seen on youtube,1
@beforeiforget5113,Dude that was epic! Thank you so much!!,1
@Dispatern,"Great video, thanks Aaron!",1
@janu5797,dude thx alot like wtf this video just like my whole semester lmao,1
@norberthm.5171,"Aaron, you nailed it!",1
@mitsk2002,God bless you. Thank you for summarizing this so beautifully. Very helpful.,1
@user-kj3em5qe3h,"this is insane and I cant wait to learn more, I actually want to try it to see if I like it.",1
@caitlinquinn79,"This is such a great video! So much of the dev world seems to be about making things seem impossible and creating a barrier to entry. Like ""oh it's too complex for me to explain"", but this takes that away. Obviously it's not everything I ever need to know about HTML but you are straightforward and present it as a structure, which is what HTML is! It should be fairly straightforward because it's meant to make sense.",1
@iiKoopa,Best 5 minutes of the day for sure! Definitely gotta come back and watch this a couple more times!,1
@adriancruz3454,Dude that video-edit/animation was surprisingly good. Coming from someone who designs daily lol.,1
@ShaunBegbie,Thanks for this content!,1
@AshwaniKumar-rr5xg,Its like a revision video. Only useful if u already know basics. Helpful content btw. THANKS.,1
@elian6019,"Lol! That sums it up pretty well. Definitely, the best HTML explained in 5 minutes out there.",1
@augurelite,this helped so mucht thank you!,1
@Smurfis,Thank you for this it’s a daily task sheet to remember for sure.,1
@tmiae0,Love the 5 minute format!,1
@vulnoryx,You literly did it. The PERFECT tutorial. Its clean fast good and perfect,1
@mariamwhb1042,"Great idea !!!  May be we can also see ""Css"" in 5 minutes?!",1
@depressedknight369,"wow wonderful..
always love your your videos ️
 please keep it up ",1
@SleepingDeity,This video would have been heaven sent if I watched it during freshman year. Nice video. It covers everything you need to know,1
@bluejaytay6030,Ay thanks for the video! Been a while since I touched html so I need a refresher,1
@jonothen2212,this is gold! thanks a lot,1
@groundsurvivalstudygracieg4034,Had to watch it twice and at a slower speed the second time to catch some of it but man this is exactly what I was looking for.,1
@thomaswhyte5107,You taught it better in 5 mins than my teacher did in a month ,1
@danoxtreme007,"Wonderful, thanks a lot!",1
@jimgladly6241,This was super solid!!!!,1
@childatheartmusic7089,wow that's a fantastic video!,1
@sattamassagan290,Awesome job!,1
@CodingJourney,Love it!! Superb editing ,1
@ninetailsdad2423,Wonderful video! Thanks for helping the community.,1
@wilydingus,"Awesome thank you so much, I took notes, learned this during a worthless company meeting lol",1
@lucidviolin1298,perfect! gonna review this over and over til it becomes seconds nature!,1
@neryashimon,its impressive on how simple he made the explanation.,1
@Tigerchaton,Thank you! :),1
@YamamotiN,"This video is insane, best ever",1
@mikahope1897,This is going to help me on my test and not waist an hour learning about it,1
@kevinlimbombe9256,Happy you pivoted back to code drip. IMO your channel was at its best when you were doing the short news videos!,1
@dotlearn1273,One of the best videos I have watched yet ,1
@dominikd9834,When is the shopify freelancing course coming? Im waiting!!!,1
@user-fl1xk5fc5n,"Thanks man! I just started HTML today, I was confused when I first tried it out. But when I watched this video, it made it alot easier. Thanks again",1
@jimjeffreymusic,Very helpful! Thanks!!,1
@ashrodway4503,Amazing video well done so much better than the rest if your learning I recommend!,1
@ordinarygamer7466,nice video and very good sound explaining stuff.,1
@Alexander.Berglund,This was so useful!,1
@RandyDaGamer,Great video. So concise.,1
@eldary01,The best refresher,1
@xyzzyx5061,Dude you're so amazing LOL. Keep it up I'll support this page.,1
@ri3706,"Aaron, thank you.",1
@Abdullah-id9sr,It was very clear thank you ,1
@short2joy786,"Thanks for making my day nice
Love you ️",1
@arnoldxode,My brain is trying to figure out this but it seems like rocket science,1
@sarax065,Brilliant!,1
@gustoproxies2498,Need more of these. ,1
@booooseri,top quality vids and very good teaching,1
@orlandodoyle6569,Very helpful! Thankyou,1
@KT-lh9gp,This was amazing,1
@nellyfurtaditto,THANK YOU!!! <3 <3 <3 VERY HELPFUL! ,1
