Username,Comment
@srkaczmarowski,This is quite literally everything you learn in the 10 hour CodeAcademy course. Thank you!
@SasiKumarindia,Best 5 minutes of my time  today.
@dantedycer,"This is insane, very well done video, please do these for CSS and JS parts!"
@Robertkokhreidze,This one guy explaining html to me took 45min to explain what html is and you just saved me a year
@jennybennyglitter,Took a 3 month break from codecademy due to life drama and needed a quick refresh of html. You delivered. Superb 
@Appollochan,"That was an awesome refresher, haven't touched HTML for 3 years, but it all came flooding back after this. :)"
@svetlana1362,"Honestly it was wayyy to fast, nobody can remember everything that was said in these 5 minutes. You'd have to watch at least a few times. BUT that is exactly what I liked. It was quick and I got all the information. I've got an overview on how to start and all the most important things. Now I can go back and slowly rewatch it and stop whenever I have to, in order to understand. Thank you. This was the best video I found on HTML. Keep up the good work."
@rezvihossain8195,Everything in one shot. Good for brushing up in 5 mins. Love it. Thanks.
@Mwtorres89,I like your minimalist and basic approach. Enough to give people a grasp of the concept and ignite interest. Thanks!
@aguibanez4821,"Aaron, thank you. Your videos have gotten SO MUCH BETTER through time, it's actually insane and inspiring af. Keep at it mate!"
@GeekyMino,Now this is how high quality video looks like! Great job.
@bracketpair,"Animations are insane, great production quality!"
@Rocky-cc1tg,I just discovered that this is my learning style. I had such a difficult time paying attention to other videos but this was just perfect! Thank you!
@Kyo-iv7mh,"I've been learning how to code for about 6-7 months, and it feels great being able to understand what you're talking about."
@leintethegreat6678,Man this was awesome. I'm so burned out by these extensive tutorials. Fast and quick to the point!
@dcngn_,"For someone who had taken a course years ago without ever using html, this was a perfect briefing. Especially things like the boilerplate autocomplete and the anti div movement."
@shenukaranawaka7051,"Almost all the HTML content in the simplest form possible. Dude, you are just insane."
@ggdgo,"Thanks, Aaron! I've been going through and intro HTML course and I've been bored by all the reading, so videos are appreciated. lol"
@joweemac,"This is very well done!!! Makes what I'm learning much much clearer, thanks!"
@noelradhakrishnan4423,"I have learnt a lot. I thought html was hard but, you made it so easy for me. You made it very understandable and intresting.
You nailed it.
Thank you so much buddy"
@captainboon2978,It's been a while since I've done any HTML. This was an excellent refresher course.
@a.prepper4538,"Hey man, new subscriber here. Recently found out about your channel and I have to thank you. Thank you for the amazing videos. I started coding two months ago and I want to become a developer for a living. From tomorrow onwards I will take your advice and code first thing in the morning. As of now, I know the basics of HTML and CSS  and am now learning about JavaScript. I have to say that it is not easy at all for me, but I will never give up because even if it has been only two months, I simply love coding. Thank you again for your videos.
Have a splendid day. God Bless.

-Andrew"
@srivatsanbalaji6238,You are a good role model dude. I majored in CS but hate coding and have been figuring out life for a bit. Watching these videos motivates me to learn more out of comfort zone and pursue new things. Stay safe dude
@thaihm,"Great review, thank you Aaron! "
@stradivariusboys4040,Honestly it is a very very good recap for any beginner who want to refresh their mind after a week of not coding.
@ivonna3583,Still one of the most amazing and clear videos I've seen on this topic. Thank you very much!
@ryuk_shinigami,Amazing!! never ever seen such a short video packed with everything I need.
@rpgrynn,Your hyper targeted presentation works extremely well - Really enjoy this
@aarongarcia2433,Five minutes well spent. Thank you!
@cameronbrighton1258,"bro this is insanely helpful, thank you"
@keifer7813,"Going crazy with the motion graphics man, great video"
@gracej5432,Perfect quick overview! Thanks!
@ninopino12,This might be the best video ive seen on youtube
@beforeiforget5113,Dude that was epic! Thank you so much!!
@Dispatern,"Great video, thanks Aaron!"
@janu5797,dude thx alot like wtf this video just like my whole semester lmao
@norberthm.5171,"Aaron, you nailed it!"
@mitsk2002,God bless you. Thank you for summarizing this so beautifully. Very helpful.
@user-kj3em5qe3h,"this is insane and I cant wait to learn more, I actually want to try it to see if I like it."
@caitlinquinn79,"This is such a great video! So much of the dev world seems to be about making things seem impossible and creating a barrier to entry. Like ""oh it's too complex for me to explain"", but this takes that away. Obviously it's not everything I ever need to know about HTML but you are straightforward and present it as a structure, which is what HTML is! It should be fairly straightforward because it's meant to make sense."
@iiKoopa,Best 5 minutes of the day for sure! Definitely gotta come back and watch this a couple more times!
@adriancruz3454,Dude that video-edit/animation was surprisingly good. Coming from someone who designs daily lol.
@ShaunBegbie,Thanks for this content!
@AshwaniKumar-rr5xg,Its like a revision video. Only useful if u already know basics. Helpful content btw. THANKS.
@elian6019,"Lol! That sums it up pretty well. Definitely, the best HTML explained in 5 minutes out there."
@user-dv5zu5ph1v,I don't understand anything am i just dumb or something
@augurelite,this helped so mucht thank you!
@Smurfis,Thank you for this it’s a daily task sheet to remember for sure.
@tmiae0,Love the 5 minute format!
@vulnoryx,You literly did it. The PERFECT tutorial. Its clean fast good and perfect
@mariamwhb1042,"Great idea !!!  May be we can also see ""Css"" in 5 minutes?!"
@depressedknight369,"wow wonderful..
always love your your videos ️
 please keep it up "
@SleepingDeity,This video would have been heaven sent if I watched it during freshman year. Nice video. It covers everything you need to know
@bluejaytay6030,Ay thanks for the video! Been a while since I touched html so I need a refresher
@jonothen2212,this is gold! thanks a lot
@groundsurvivalstudygracieg4034,Had to watch it twice and at a slower speed the second time to catch some of it but man this is exactly what I was looking for.
@thomaswhyte5107,You taught it better in 5 mins than my teacher did in a month 
@danoxtreme007,"Wonderful, thanks a lot!"
@jimgladly6241,This was super solid!!!!
@childatheartmusic7089,wow that's a fantastic video!
@sattamassagan290,Awesome job!
@CodingJourney,Love it!! Superb editing 
@alien45735,i already lesrned half of the html but for some reason i quit coding for a year and now i don't want to learn all again i just wanted a quick revise to everything i learned and that video helped me a lot
@ninetailsdad2423,Wonderful video! Thanks for helping the community.
@wilydingus,"Awesome thank you so much, I took notes, learned this during a worthless company meeting lol"
@lucidviolin1298,perfect! gonna review this over and over til it becomes seconds nature!
@neryashimon,its impressive on how simple he made the explanation.
@Tigerchaton,Thank you! :)
@YamamotiN,"This video is insane, best ever"
@mikahope1897,This is going to help me on my test and not waist an hour learning about it
@kevinlimbombe9256,Happy you pivoted back to code drip. IMO your channel was at its best when you were doing the short news videos!
@dotlearn1273,One of the best videos I have watched yet 
@dominikd9834,When is the shopify freelancing course coming? Im waiting!!!
@user-fl1xk5fc5n,"Thanks man! I just started HTML today, I was confused when I first tried it out. But when I watched this video, it made it alot easier. Thanks again"
@haha.1h,how to make the screb black becuse whit it hurts my eys
@jimjeffreymusic,Very helpful! Thanks!!
@ashrodway4503,Amazing video well done so much better than the rest if your learning I recommend!
@ordinarygamer7466,nice video and very good sound explaining stuff.
@Alexander.Berglund,This was so useful!
@RandyDaGamer,Great video. So concise.
@eldary01,The best refresher
@xyzzyx5061,Dude you're so amazing LOL. Keep it up I'll support this page.
@ri3706,"Aaron, thank you."
@Abdullah-id9sr,It was very clear thank you 
@short2joy786,"Thanks for making my day nice
Love you ️"
@arnoldxode,My brain is trying to figure out this but it seems like rocket science
@sarax065,Brilliant!
@1rbd,actually insane video
@gustoproxies2498,Need more of these. 
@booooseri,top quality vids and very good teaching
@orlandodoyle6569,Very helpful! Thankyou
@KT-lh9gp,This was amazing
@nellyfurtaditto,THANK YOU!!! <3 <3 <3 VERY HELPFUL! 
@mosley4442,really helpful. i'm trying to learn html and css barebones with just jon ducketts book. i kinda want to use boiler plates but i feel like it'll just be a crutch for me. thanks for the video super helpful.
@harishkumarkallepalli1604,Fantastic bro 
@RCASoft,"Being a beginner, I had repeat it several times to understand, but it's worth every minute."
@SuvobrotoPal,"Nice informative five minutes , thank you sir"
@HeadRecieverAtHeadOffice,"that was great, thanks"
@ricardoherrera8662,"5 minutes, 5 stars! I need to discover other topics you have covered."
@nonstoprider1623,Can you please tell which theme you are using in vs code?
@fethiajemal330,What app can we use in windows for  HTML
